features,model,strategy,n_dim,train_trees,test_trees,macro,joint,mae,acc_B1,acc_B2,acc_B3,acc_B4,mae_B1,mae_B2,mae_B3,mae_B4,bias_B1,bias_B2,bias_B3,bias_B4
F0+conf+spatial,LR,train_val,41,812,141,0.75177304964539,0.2765957446808511,1.0602836879432624,0.9645390070921985,0.8085106382978723,0.5035460992907801,0.7304964539007093,0.40425531914893614,1.0354609929078014,1.6170212765957446,1.1843971631205674,-0.0070921985815602835,-0.05673758865248227,-0.22695035460992907,0.04964539007092199
F0+conf+spatial,SVM,train_val,41,812,141,0.75177304964539,0.2765957446808511,1.0460992907801416,0.9716312056737588,0.8156028368794326,0.5177304964539007,0.7021276595744681,0.36879432624113473,0.9645390070921985,1.6312056737588652,1.2198581560283688,-0.028368794326241134,-0.5106382978723404,-0.3120567375886525,-0.2978723404255319
F0+conf+spatial,RF,train_val,41,812,141,0.7411347517730495,0.28368794326241137,1.0638297872340425,0.9645390070921985,0.7588652482269503,0.5390070921985816,0.7021276595744681,0.3829787234042553,1.049645390070922,1.5602836879432624,1.2624113475177305,-0.028368794326241134,-0.0851063829787234,-0.1276595744680851,0.0851063829787234
F0+conf+spatial,Ridge,train_val,41,812,141,0.7570921985815602,0.28368794326241137,1.0585106382978724,0.9645390070921985,0.8085106382978723,0.5177304964539007,0.7375886524822695,0.3829787234042553,1.0425531914893618,1.5886524822695036,1.2198581560283688,0.014184397163120567,-0.04964539007092199,-0.14184397163120568,-0.028368794326241134
F0+conf+spatial,ElasticNet,train_val,41,812,141,0.7624113475177305,0.2907801418439716,1.0585106382978724,0.9645390070921985,0.8226950354609929,0.524822695035461,0.7375886524822695,0.375886524822695,1.0425531914893618,1.5957446808510638,1.2198581560283688,0.0070921985815602835,-0.03546099290780142,-0.14893617021276595,-0.014184397163120567
F0+conf+distrib,LR,train_only,53,716,141,0.7358156028368794,0.2624113475177305,1.0939716312056738,0.9574468085106383,0.7872340425531915,0.5177304964539007,0.6808510638297872,0.425531914893617,1.0212765957446808,1.6382978723404256,1.2907801418439717,0.014184397163120567,-0.11347517730496454,-0.12056737588652482,0.15602836879432624
F0+conf+distrib,SVM,train_only,53,716,141,0.7304964539007092,0.22695035460992907,1.0709219858156027,0.9716312056737588,0.7588652482269503,0.5106382978723404,0.6808510638297872,0.40425531914893614,1.0283687943262412,1.6312056737588652,1.2198581560283688,-0.02127659574468085,-0.5035460992907801,-0.2978723404255319,-0.24113475177304963
F0+conf+distrib,RF,train_only,53,716,141,0.74822695035461,0.28368794326241137,1.0691489361702127,0.9645390070921985,0.7588652482269503,0.5886524822695035,0.6808510638297872,0.3900709219858156,1.0425531914893618,1.5390070921985815,1.3049645390070923,-0.04964539007092199,-0.10638297872340426,-0.20567375886524822,0.1702127659574468
F0+conf+distrib,Ridge,train_only,53,716,141,0.7641843971631206,0.2978723404255319,1.0602836879432624,0.9716312056737588,0.8014184397163121,0.5460992907801419,0.7375886524822695,0.375886524822695,1.0567375886524824,1.6028368794326242,1.2056737588652482,0.02127659574468085,-0.09219858156028368,-0.11347517730496454,0.07092198581560284
F0+conf+distrib,ElasticNet,train_only,53,716,141,0.7641843971631206,0.2978723404255319,1.053191489361702,0.9716312056737588,0.8085106382978723,0.5390070921985816,0.7375886524822695,0.36879432624113473,1.0425531914893618,1.6028368794326242,1.198581560283688,0.0,-0.07801418439716312,-0.1276595744680851,0.06382978723404255
